nombre,valor
PCB VIDEO NVIDIA QUADRO K2000 (LAB0835),0
PCB BACKPLANE BALLY ALPHA 2 PW (LAB6288),215965
IMPRESORA EPIC EDGE TRANSACT (LAB6141),1200000
PCB INTERFACE ARUZE BOARD (LAB6145),1100000
PCB I/O BOARD CPU SG J43/TWINS (LAB6144),130000
FUENTE ARISTOCRAT MK5 (LAB2179),321000
POWER BOX AC SG (LAB6163),350000
SATADOM-SV 16GB INNODISK (LAB4393),311000
IMPRESORA FISCAL GASTRO (REE0002),250000
CPU KONAMI 3.5 PLUS KX43 (LAB6182),2610000
EXTENSOR VGA POR UTP (LAB1206),100000
"MONITOR 40"" PPAL AINSWORTH A640 (LAB6185)",4890000
CPU CARTEL GOLD CLUB (LAB6188),2354000
MONITOR 27 IGT CRISTAL SLANTOP (LAB2680),1000520
COMPACT FLASH CARD 4 GB (LAB1636),6235
LED DIMMER INTERBLOCK (LAB6191),144033
"MONITOR 19"" RULETA MINISTAR (LAB5919)",1254000
"MONITOR 23"" PPAL WMS BLADE (LAB3919)",1137000
BACKPLANE CRYSTAL DUAL (LAB6319),987065
"TV 50"" RULETA GOLD CLUB (LAB6318)",1100000
"MONITOR 42""INTERBLOCK ORGANIC (LAB5015)",3050700
PCB CPU KONAMI KGP-1 DIMENSION 27 (LAB6337),5321000
PCB BACKPLANE IGT COBALT (LAB6347),798000
FUENTE DE ALIMENTACION PA400-14C (LAB6349),598500
MONITOR 27 BALLY V27 (LAB3812),2128000
MONITOR 27 ZITRO GRALE ALLURE (LAB6227),2145000
SPLITTER HDMI 2 PUERTOS (LAB1603),124000
DISPOSITIVO MOVIL CELULAR (REE0005),80000
IMPRESORA DE BARRERA (REE0006),264000
FUENTE DE 5V 5A FSE25H-5 (LAB3158),85000
REPARACION DE PUERTA DE BALLY (LAB6184),132000
"MONITOR 27"" ARUZE MUSO (LAB5438)",4712500
"TOUCH 32"" BALLY (LAB1119)",390000
FUENTE ALIMENTACION TV (REE0007),84000
"MONITOR LG 19"" (REE0001)",123000
PLACA TEMPORIZADORA IGT V6 (LAB5422D,82000
FUENTE SWITCHING 24V 5A (LAB2181),47860
CPU NOVOMATIC VIP LOUNGE (LAB4661),0
TECLADO IDECK KONAMI DIMENS 27 (LAB6394),3492000
TICKETEADORA BROTHER (REE0008),0
"MONITOR 24""LED MONITOR DE CILINDRO DE RULETA (LAB0632)",365000
PCB VIDEO SG TWINSTAR J43 (LAB5411),0
CABLE EXT TOUCH RULT INTERBLOCK(LAB6434),0
IMPRESORA 3D K1 (REE008),1300000
SPLITTER HDMI 2 ENT 4 SALIDAS (LAB6532),0
